fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6.892307948321104
7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6.645475828321651
9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5.4326496622525156
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6.897004595026374
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6.945567960385233
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6.627494607819244
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5.08301802771166
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6.444935545325279
7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6.3616007952950895
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5.995372242061421
6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6.499348921235651
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5.257754252990708
6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,6.72443926660344
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5.157886233646423
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5.315457477234304
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5.296285540563986
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5.679472859716043
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6.4560403022915125
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7.019386807689443
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5.72589020524174
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6.327067736536264
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7.661238310392946
6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6.355062269838527
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6.457890100311488
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6.584985212422907
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5.195843349676579
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6.258955005090684
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5.870197948301211
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6.119268352165818
7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6.820240393979475
6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7.572184158721939
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6.2344163614325225
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6.574020444182679
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7.753889027517289
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6.1028790168929845
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7.673675709869713
7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4.113186893984675
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5.852039719931781
7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5.3989515183493495
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7.559471349930391
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6.48549236333929
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7.126920990180224
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6.8385609986726195
8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6.788867928087711
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5.66352159017697
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5.233087536180392
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6.9537545666098595
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5.700975871877745
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4.5850084172561765
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6.952883459394798
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6.911848609568551
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5.077974586281925
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5.067554576089606
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5.940845500444993
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5.1672858921810985
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5.911997902439907
7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7.168317597359419
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4.298507910454646
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6.03852757345885
7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6.400801609968767
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5.612819163594395
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6.246404582401738
7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7.023028107360005
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5.284214177168906
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5.812892683548853
6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,6.718918385216966
7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6.529576743720099
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5.184337243903428
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6.671622128691524
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5.424525320297107
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6.561665425775573
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5.442788380896673
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6.933068161131814
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6.461532888002694
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5.628983476897702
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6.571991521632299
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5.684094261145219
9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5.944819680182263
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6.033789139939472
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6.325875232229009
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6.804666881682351
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7.21334158629179
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6.394593054894358
6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6.785902559524402
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5.021926815621555
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7.648202572017908
7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4.574985570972785
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6.593201405368745
7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6.5928633930161595
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6.722735852235928
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5.752235888503492
6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6.078985253581777
6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6.729152365820482
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.856176081113517
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.712299736449495
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.675056025385857
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.976478723343462
6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5.829277235781774
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5.947281446773559
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.274747267598286
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7.574128219392151
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7.032741959905252
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6.4437624423298985
6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6.31398377334699
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7.227591323899105
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7.182243898743764
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6.8329131519421935
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7.986884094541892
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6.189692932646722
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8.339632399380207
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7.460953433299437
7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,7.414620992727578
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5.845980454934761
6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,5.856104152742773
6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5.451587253715843
7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6.73248516372405
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7.675966499838978
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5.7495475499890745
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5.959223829675466
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5.995777110336348
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6.980353942140937
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5.565966537920758
7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7.916000554570928
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5.971621370408684
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7.96342767146416
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6.600143445888534
7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6.196057838154957
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7.072279530577362
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5.407644767081365
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4.012965336907655
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7.989314939361066
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6.74205166939646
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5.804316713940352
6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6.158836833899841
7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6.8178704171441495
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5.516739642713219
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6.895044849952683
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5.962219470646232
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6.765419195406139
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5.635772954672575
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5.953421196900308
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6.387018852867186
7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5.249054251238704
6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6.02714116871357
6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8.351348454132676
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5.211667409399524
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5.314149010227993
6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5.282436719164252
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4.294164364458993
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5.753077367553487
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6.4208896674681455
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6.685614478774369
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5.950213899137452
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8.505570412613451
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5.189557251986116
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6.571519382297993
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6.673393498873338
7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4.386626196326688
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6.966707693645731
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6.512057083891705
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5.0368830231018364
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5.607063695555553
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6.816603644751012
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6.6733413124457
7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7.1565211622510105
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6.966197269037366
7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7.9240018259733915
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6.133063977584243
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5.788630624534562
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5.929867836181074
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5.6451188968494534
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6.749052939936519
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5.4586694242898375
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6.0611334117129445
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5.0334110567346215
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5.390871925745159
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5.1881859914865345
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5.264562265248969
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6.200633340748027
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6.175409865332767
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6.896244295174256
6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7.062038188567385
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5.411132088629529
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4.310617058770731
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3.430710644926876
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6.331650567008182
7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6.238232882460579
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6.373141391901299
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6.490697236265987
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5.019646106986329
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4.029511887347326
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4.670575389638543
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6.82454845472239
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8.77227236633189
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6.766766002168879
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8.785131817916408
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5.917786576785147
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4.779569620732218
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4.420589276356623
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4.579457685584202
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8.797699314542115
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8.928995416499674
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6.1133133275434375
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7.190391227835789
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6.771166516235098
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5.109985600924119
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5.626569397747517
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5.632257328135893
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6.866618612315506
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6.670329818734899
6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6.846696275519207
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4.227677751332521
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4.133222223259509
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6.514600465307012
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6.682708673877642
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5.626769614871591
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5.9720911351032555
7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6.647907044738531
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6.292653548764065
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5.809636211488396
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4.775337664643303
7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6.824690157780424
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6.556943126488477
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4.007574288407341
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4.465134131722152
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4.958005350083113
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5.764730863971636
7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6.675805958453566
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5.8363278969191015
6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5.284216663101688
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5.310532049974427
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7.132505701156333
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5.595933250617236
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5.817284323973581
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6.773379351710901
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5.628580471733585
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6.106742960866541
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6.859503190498799
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6.9276076124515384
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6.475952162640169
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6.178493644343689
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5.403801770880818
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5.973730750381947
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,5.987500637769699
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6.534573554061353
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6.020875533577055
6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4.281880288384855
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5.652069763280451
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6.927903201896697
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5.6498121418990195
7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6.5424345578067005
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5.669558935565874
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6.955441518919542
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5.711625912692398
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5.339871094562113
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5.391117981402203
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5.3009877724107355
6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5.878251001238823
6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6.413757398957387
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6.007058410905302
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6.081578690325841
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5.21024648915045
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5.670603994047269
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7.4525804163422436
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6.42799242422916
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5.56482590874657
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6.046474102884531
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6.657804844900966
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6.703732504276559
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6.738699113950133
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5.554627584991977
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5.06571105029434
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5.57244666130282
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5.503060101298615
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7.454938662005588
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5.699919157428667
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5.408126826630905
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5.907635769573972
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6.231528286123648
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6.454790227347985
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5.791045646183193
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5.945106304250658
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7.777686411514878
8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6.389152683550492
6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6.856090185465291
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7.480101780267432
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5.146676274482161
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6.563643799629062
