Category,PagePop,Checkins,TalkingAbout,CommentsBefore,CommentsFirst24,CharsInPost,NumShares,Promoted,DayOfWeek,Comments
Musician/band,49203410,5,2891667,1346,1346,9,402,0,5,463
Actor/director,61604763,4,1625512,2423,2405,50,3781,1,4,367
Musician/band,68687043,2,1505670,666,565,132,324,0,4,26
Musician/band,68687043,2,1505670,2244,1931,74,597,0,4,31
Musician/band,68687043,2,1505670,503,503,34,321,0,6,188
Musician/band,69223424,15,1403470,486,418,291,3213,0,4,9
Musician/band,69223424,15,1403470,376,376,0,3070,0,5,95
Musician/band,69223424,15,1403470,333,333,145,3336,0,7,154
Musician/band,78073034,7,734237,361,316,413,36,1,4,15
Musician/band,78073034,7,734237,378,367,101,1323,0,4,32
Musician/band,78073034,7,734237,149,149,290,446,0,5,79
Musician/band,78073034,7,734237,171,171,128,405,0,4,108
Musician/band,78073034,7,734237,284,284,140,1549,0,4,231
Musician/band,78073034,7,734237,309,309,91,3166,0,4,309
Athlete,95495492,25167,1899491,2564,2182,83,431,1,4,169
